company_name,name,asset_code,asset_account_name,depreciation_code,depreciation_account_name,expense_code,expense_account_name,method,method_number,method_period,method_time,prorata,open_asset,days_calc,active,o14_asset_count
บริษัท เอ็นพีดี โลจิสติกส์ จำกัด,BU - อาคาร,1410-02,อาคาร-สำนักงาน,1420-02,ค่าเสื่อมราคาสะสม-อาคาร-สนง.,5340-15,ค่าเสื่อมราคา-อาคาร-สำนักงาน,linear,5,year,year,1,0,1,1,0
บริษัท เอ็นพีดี โลจิสติกส์ จำกัด,CA - ยานพาหนะ,1410-05,ยานพาหนะ-สำนักงาน,1420-05,ค่าเสื่อมราคาสะสม-ยานพาหนะ,5340-05,ค่าเสื่อมราคา-ยานพาหนะ,linear,5,year,year,1,0,1,1,30
บริษัท เอ็นพีดี โลจิสติกส์ จำกัด,CO - คอมพิวเตอร์และอุปกรณ์,1410-06,คอมพิวเตอร์และอุปกรณ์,1420-06,ค่าเสื่อมราคาสะสม-คอมพิวเตอร์และอุปกรณ์,5340-06,ค่าเสื่อมราคา-คอมพิวเตอร์และอุปกรณ์,linear,5,year,year,1,0,1,1,4
บริษัท เอ็นพีดี โลจิสติกส์ จำกัด,TD - เครื่องมือช่าง,1410-09,เครื่องมือช่างและอุปกรณ์,1420-09,ค่าเสื่อมราคาสะสม-เครื่องมือช่างและอุปกรณ์,5340-09,ค่าเสื่อมราคา-เครื่องมือช่างและอุปกรณ์,linear,5,year,year,1,0,1,1,11
บริษัท เอ็นพีดี โลจิสติกส์ จำกัด,EQ - อุปกรณ์สำนักงาน,1410-03,อุปกรณ์สำนักงาน,1420-03,ค่าเสื่อมราคาสะสม-อุปกรณ์สำนักงาน,5340-03,ค่าเสื่อมราคา-อุปกรณ์สำนักงาน,linear,5,year,year,1,0,1,1,23
บริษัท เอ็นพีดี โลจิสติกส์ จำกัด,BD - เครื่องตกแต่งอาคาร,1410-04,เครื่องตกแต่งสำนักงาน,1420-04,ค่าเสื่อมราคาสะสม-เครื่องตกแต่งสำนักงาน,5340-04,ค่าเสื่อมราคา-เครื่องตกแต่งสำนักงาน,linear,5,year,year,1,0,1,1,3
บริษัท เอ็นพีดี โลจิสติกส์ จำกัด,IN - สินทรัพย์ไม่มีตัวตน,1410-12,โปรแกรมสำเร็จรูป,1420-12,ค่าเสื่อมราคาสะสม-โปรแกรมสำเร็จรูป,5340-17,ค่าเสื่อมราคา-โปรแกรมสำเร็จรูป,linear,5,year,year,1,0,1,1,0
บริษัท เอ็นพีดี โลจิสติกส์ จำกัด,LA - ที่ดิน,1410-01,ที่ดิน,1420-13,ค่าเสื่อมราคาสะสม-ที่ดิน,5340-18,ค่าเสื่อมราคา-ที่ดิน,linear,5,year,year,1,0,1,1,0
บริษัท เอ็นพีดี โลจิสติกส์ จำกัด,MQ - เครื่องจักรและอุปกรณ์,1410-08,เครื่องจักรและอุปกรณ์,1420-08,ค่าเสื่อมราคาสะสม-เครื่องจักรและอุปกรณ์,5340-08,ค่าเสื่อมราคา-เครื่องจักรและอุปกรณ์,linear,5,year,year,1,0,1,1,2
บริษัท เอ็นพีดี โลจิสติกส์ จำกัด,RE - ทรัพย์สินเพื่อให้เช่า,1410-11,ทรัพย์สินเพิ่มให้เช่า,1420-14,ค่าเสื่อมราคาสะสม-ทรัพย์สินเพิ่มให้เช่า,5340-19,ค่าเสื่อมราคา-ทรัพย์สินเพิ่มให้เช่า,linear,5,year,year,1,0,1,1,0
